"","CONSIDERATION","MEDICATION","Freq"
"510","Minor","Lansoprazole",1
"515","NO","Latanoprost",2
"519","NO","Letrozole",1
"523","NO","Levetiracetam",1
"527","NO","Levonorgestrel ",1
"531","NO","Levothyroxine sodium ",13
"535","NO","Liothyronine",2
"538","Minor","Lisdexamfetamine ",1
"543","NO","Lithium",2
"547","NO","Loratadine",3
"551","NO","Lorazepam",14
"555","NO","Lorazepam ",3
"560","Usual","Losartan",1
"563","NO","Lurasidone ",1
"567","NO","Medroxyprogesterone",1
"571","NO","Medroxyprogesterone ",1
"574","Minor","Melatonin",4
"576","Usual","Melatonin",6
"580","Usual","Meloxicam",2
"583","NO","Meperidine hydrochloride ",1
"587","NO","Mesalazine",2
"591","NO","Metformin",6
"595","NO","Metformin ",3
"599","NO","Metformin / sitagliptin ",1
"603","NO","Methadone",2
"607","NO","Methocarbamol ",5
"611","NO","Methotrexate",4
"615","NO","Methylphenidate",1
"617","Major","Metoprolol",1
"620","Usual","Metoprolol",4
"623","NO","Metronidazole",2
"627","NO","Minoxidil",1
"630","Minor","Mirtazapine",7
"632","Usual","Mirtazapine",5
"634","Minor","Moclobemide",2
"639","NO","Modafinil",1
"643","NO","Mometasone",2
"647","NO","Mometasone ",2
"651","NO","Montelukast",3
"655","NO","Montelukast ",1
"659","NO","Mycophenolate",2
"662","Minor","Naltrexone",1
"664","Usual","Naltrexone",1
"667","NO","Naproxen",7
"671","NO","Nifedipine",2
"675","NO","Nifedipine ",2
"679","NO","Nitrofurantoin",1
"683","NO","Nitrofurantoin ",1
"685","Major","Nortriptyline",1
"686","Minor","Nortriptyline",2
"688","Usual","Nortriptyline",3
"691","NO","Nystatin",1
"695","NO","Oestradiol ",3
"699","NO","Oestriol",1
"703","NO","Oestrogen ",5
"706","Minor","Olanzapine",3
"708","Usual","Olanzapine",2
"711","NO","Olopatadine",3
"714","Minor","Omeprazole",1
"718","Minor","Ondansetron",1
"720","Usual","Ondansetron",1
"723","NO","Orlistat",1
"727","NO","Oxazepam",2
"731","NO","Oxcarbazepine ",1
"734","Minor","Oxycodone",1
"740","Usual","Oxycodone ",1
"743","NO","Pancreatic extract bp ",1
"746","Minor","Pantoprazole",15
"749","Major","Pantoprazole ",1
"750","Minor","Pantoprazole ",3
"756","Usual","Paroxetine",2
"759","NO","Perindopril ",1
"762","Minor","Pimozide",1
"767","NO","Potassium chloride ",1
"771","NO","Prazosin",3
"775","NO","Prednisone",5
"779","NO","Pregabalin",3
"783","NO","Progesterone",3
"786","Minor","Propranolol",2
"788","Usual","Propranolol",2
"791","NO","Pseudoephedrine ",1
"794","Minor","Quetiapine",2
"796","Usual","Quetiapine",21
"800","Usual","Quetiapine ",1
"802","Minor","Rabeprazole",9
"807","NO","Ramipril",15
"811","NO","Ranitidine",7
"815","NO","Risedronate ",1
"818","Minor","Risperidone",2
"820","Usual","Risperidone",1
"822","Minor","Risperidone ",1
"827","NO","Rituximab",1
"831","NO","Rivaroxaban",1
"835","NO","Rivaroxaban ",1
"839","NO","Rizatriptan benzoate ",1
"844","Usual","Rosuvastatin",13
"847","NO","Salbutamol",7
"851","NO","Salbutamol ",4
"855","NO","Salmeterol",1
"859","NO","Sennosides a and b ",1
"862","Minor","Sertraline",9
"864","Usual","Sertraline",6
"866","Minor","Sertraline ",1
"868","Usual","Sertraline ",1
"871","NO","Sildenafil ",1
"875","NO","Sodium fusidate ",1
"879","NO","Somatropin ",1
"883","NO","Spironolactone",4
"887","NO","Sulfasalazine",1
"891","NO","Sulfasalazine ",1
"895","NO","Sumatriptan",3
"900","Usual","Tacrolimus",3
"903","NO","Tadalafil ",1
"907","NO","Tamsulosin",5
"911","NO","Telmisartan",1
"915","NO","Temazepam",1
"919","NO","Testosterone",4
"923","NO","Thyroxine",5
"927","NO","Thyroxine,",1
"932","Usual","Timolol ",1
"935","NO","Tiotropium ",1
"939","NO","Topiramate",3
"941","Major","Tramadol",1
"948","Usual","Tramadol ",1
"951","NO","Travoprost",1
"955","NO","Travoprost ",1
"959","NO","Trazadone",22
"963","NO","Trimethoprim",1
"967","NO","Trimipramine,",1
"971","NO","Ursodiol ",1
"975","NO","Valaciclovir",2
"979","NO","Valproate",5
"983","NO","Valsartan",3
"987","NO","Varenicline ",2
"990","Minor","Venlafaxine",8
"992","Usual","Venlafaxine",15
"994","Minor","Vortioxetine ",1
"996","Usual","Vortioxetine ",1
"997","Major","Warfarin",1
"1003","NO","Ziprasidone ",1
"1007","NO","Zolmitriptan",2
"1011","NO","Zolpidem",1
"1015","NO","Zopiclone",19
