"","MEDICATION","GENEs","CONSIDERATION","BCP (n=8)","D59 (n=1)","F31 (n=2)","J02 (n=8)","k74 (n=6)","k76 (n=10)","L65 (n=20)","N24 (n=20)","N43 (n=9)","N83 (n=16)","S73 (n=5)","S81 (n=4)","S94 (n=3)","T37 (n=9)","T60 (n=9)","W19 (n=10)","X73 (n=10)"
"129","Lamotrigine",NA,"NO",1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0
"130","Lansoprazole","CYP2C19","Major",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"131","Lansoprazole","CYP2C19","Minor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"132","Latanoprost",NA,"NO",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"133","Letrozole",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"134","Levetiracetam",NA,"NO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Levodopa",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"136","Levonorgestrel",NA,"NO",0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1
"137","Levothyroxine sodium",NA,"NO",0,0,0,0,0,3,1,3,1,1,0,0,0,0,2,0,2
"138","Liothyronine",NA,"NO",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"139","Lisdexamfetamine","CYP2D6","Minor",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"140","Lithium",NA,"NO",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"141","Loratadine",NA,"NO",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"142","Lorazepam",NA,"NO",1,0,0,1,3,3,2,0,2,1,1,0,0,0,0,1,1
"143","Lorazepam,",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"144","Losartan","CYP2C9","Usual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"145","Lurasidone",NA,"NO",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"146","Medroxyprogesterone",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"147","Melatonin","CYP1A2","Minor",0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0
"148","Melatonin","CYP1A2","Usual",0,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0
"149","Meloxicam","CYP2C9","Usual",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"150","Meperidine hydrochloride",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"151","Mesalazine",NA,"NO",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"152","Metformin",NA,"NO",0,0,0,2,0,1,1,2,1,1,1,0,0,0,0,0,1
"153","Methadone",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"154","Methocarbamol",NA,"NO",0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0
"155","Methotrexate",NA,"NO",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
"156","Methylphenidate",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"157","Metoprolol","CYP2D6","Major",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"158","Metoprolol","CYP2D6","Usual",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"159","Metronidazole",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"160","Minoxidil",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"161","Mirtazapine","CYP1A2CYP2D6","Minor",2,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
"162","Mirtazapine","CYP1A2CYP2D6","Usual",0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
"163","Moclobemide","CYP2C19","Minor",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"164","Modafinil",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"165","Mometasone",NA,"NO",0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0
"166","Montelukast",NA,"NO",0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0
"167","Mycophenolate",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"168","Naloxone",NA,"NO",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"169","Naltrexone","OPRM1","Minor",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"170","Naltrexone","OPRM1","Usual",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"171","Naproxen",NA,"NO",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,3
"172","Nifedipine",NA,"NO",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"173","Nitrofurantoin",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"174","Norethisterone",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"175","Nortriptyline","CYP2D6","Major",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"176","Nortriptyline","CYP2D6","Minor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"177","Nortriptyline","CYP2D6","Usual",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"178","Nystatin",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"179","Oestradiol",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"180","Oestriol",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"181","Oestrogen",NA,"NO",1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0
"182","Olanzapine","CYP1A2","Minor",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"183","Olanzapine","CYP1A2","Usual",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"184","Olopatadine",NA,"NO",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"185","Omeprazole","CYP2C19","Minor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"186","Ondansetron","CYP2D6","Minor",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"187","Ondansetron","CYP2D6","Usual",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"188","Orlistat",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"189","Oxazepam",NA,"NO",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"190","Oxcarbazepine",NA,"NO",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"191","Oxycodone","CYP2D6","Minor",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"192","Oxycodone","CYP2D6","Usual",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"193","Pancreatic extract bp",NA,"NO",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"194","Pantoprazole","CYP2C19","Major",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"195","Pantoprazole","CYP2C19","Minor",0,0,0,1,2,2,1,5,0,2,2,1,0,1,0,1,0
"196","Papain",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"197","Paroxetine","CYP2D6","Usual",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"198","Perindopril",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"199","Pimozide","CYP2D6","Minor",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"200","Potassium bicarbonate",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"201","Potassium chloride",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"202","Prazosin",NA,"NO",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"203","Prednisone",NA,"NO",0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0
"204","Pregabalin",NA,"NO",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"205","Progesterone",NA,"NO",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"206","Propranolol","CYP1A2CYP2D6","Minor",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"207","Propranolol","CYP1A2CYP2D6","Usual",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"208","Pseudoephedrine",NA,"NO",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"209","Quetiapine","CYP3A4","Minor",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"210","Quetiapine","CYP3A4","Usual",1,0,0,3,2,0,3,3,2,3,1,1,1,1,0,1,0
"211","Rabeprazole","CYP2C19","Minor",0,0,1,0,0,1,1,3,0,0,0,0,0,0,2,0,1
"212","Ramipril",NA,"NO",0,0,2,2,1,0,2,1,0,1,0,1,0,0,2,0,3
"213","Ranitidine",NA,"NO",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,3
"214","Risedronate",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"215","Risperidone","CYP2D6","Minor",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"216","Risperidone","CYP2D6","Usual",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"217","Rituximab",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"218","Rivaroxaban",NA,"NO",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"219","Rizatriptan benzoate",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"220","Rosuvastatin","SLCO1B1","Usual",0,0,1,2,1,1,1,2,0,0,0,1,1,0,1,1,1
"221","Salbutamol",NA,"NO",0,0,0,0,0,1,0,2,0,3,0,1,0,2,1,0,1
"222","Salmeterol",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"223","Sennosides a and b",NA,"NO",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"224","Sertraline","CYP2C19","Minor",0,0,0,0,1,1,1,0,0,0,1,1,0,2,2,1,0
"225","Sertraline","CYP2C19","Usual",1,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0
"226","Sildenafil",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"227","Sitagliptin",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"228","Sodium alginate",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"229","Sodium fusidate",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"230","Somatropin",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"231","Spironolactone",NA,"NO",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"232","Sulfasalazine",NA,"NO",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"233","Sumatriptan",NA,"NO",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"234","Tacrolimus","CYP3A5","Usual",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"235","Tadalafil",NA,"NO",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","Tamsulosin",NA,"NO",0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0
"237","Telmisartan",NA,"NO",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","Temazepam",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"239","Testosterone",NA,"NO",0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0
"240","Thyroxine",NA,"NO",0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0
"241","Thyroxine,",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"242","Timolol","CYP2D6","Usual",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"243","Tiotropium",NA,"NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"244","Topiramate",NA,"NO",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"245","Tramadol","CYP2D6","Major",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"246","Tramadol","CYP2D6","Usual",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"247","Travoprost",NA,"NO",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"248","Trazadone",NA,"NO",2,0,0,1,0,0,7,3,0,2,0,1,0,1,4,0,1
"249","Trimethoprim",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"250","Trimipramine,",NA,"NO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"251","Ursodiol",NA,"NO",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"252","Valaciclovir",NA,"NO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"253","Valproate",NA,"NO",0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"254","Valsartan",NA,"NO",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"255","Varenicline",NA,"NO",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
